city_name;city_code;value;unit;measurement date;name
Opolskie;PL52;9313.0;km2;2022;Area by EuroStat
Opolskie;PL52;9412.0;km2;2022;Area by EuroStat
Warszawski stoleczny;PL91;6013.0;km2;2022;Area by EuroStat
Warszawski stoleczny;PL91;6104.0;km2;2022;Area by EuroStat
Algarve;PT15;4934.0;km2;2022;Area by EuroStat
Algarve;PT15;4997.0;km2;2022;Area by EuroStat
Área Metropolitana de Lisboa;PT17;2810.0;km2;2022;Area by EuroStat
Área Metropolitana de Lisboa;PT17;3015.0;km2;2022;Area by EuroStat
Região Autónoma dos Açores (PT);PT2;2305.0;km2;2022;Area by EuroStat
Região Autónoma dos Açores (PT);PT2;2322.0;km2;2022;Area by EuroStat
Região Autónoma dos Açores (PT);PT20;2305.0;km2;2022;Area by EuroStat
Região Autónoma dos Açores (PT);PT20;2322.0;km2;2022;Area by EuroStat
Região Autónoma da Madeira (PT);PT3;799.0;km2;2022;Area by EuroStat
Região Autónoma da Madeira (PT);PT3;802.0;km2;2022;Area by EuroStat
Região Autónoma da Madeira (PT);PT30;799.0;km2;2022;Area by EuroStat
Região Autónoma da Madeira (PT);PT30;802.0;km2;2022;Area by EuroStat
Bucuresti - Ilfov;RO32;1754.0;km2;2022;Area by EuroStat
Bucuresti - Ilfov;RO32;1804.0;km2;2022;Area by EuroStat
Stockholm;SE11;6524.0;km2;2022;Area by EuroStat
Stockholm;SE11;7153.0;km2;2022;Area by EuroStat
Zahodna Slovenija;SI04;7812.0;km2;2022;Area by EuroStat
Zahodna Slovenija;SI04;7840.0;km2;2022;Area by EuroStat
Bratislavský kraj;SK01;2021.0;km2;2022;Area by EuroStat
Bratislavský kraj;SK01;2053.0;km2;2022;Area by EuroStat
