city_name;city_code;age;sex;measurement_date;value;unit
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Total;2004;67551;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Females;2010;39878;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Males;2010;41685;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Total;2010;81563;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Females;2016;43485;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Males;2016;45500;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Total;2016;88985;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Females;2022;38076;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Males;2022;39980;Number
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;Less than 5 years old;Total;2022;78056;Number
Prov. Antwerpen;BE21;Less than 5 years old;Females;2004;42770;Number
Prov. Antwerpen;BE21;Less than 5 years old;Males;2004;45076;Number
Prov. Antwerpen;BE21;Less than 5 years old;Total;2004;87846;Number
Prov. Antwerpen;BE21;Less than 5 years old;Females;2010;49178;Number
Prov. Antwerpen;BE21;Less than 5 years old;Males;2010;51524;Number
Prov. Antwerpen;BE21;Less than 5 years old;Total;2010;100702;Number
Prov. Antwerpen;BE21;Less than 5 years old;Females;2016;51422;Number
Prov. Antwerpen;BE21;Less than 5 years old;Males;2016;53690;Number
Prov. Antwerpen;BE21;Less than 5 years old;Total;2016;105112;Number
Prov. Antwerpen;BE21;Less than 5 years old;Females;2022;49241;Number
Prov. Antwerpen;BE21;Less than 5 years old;Males;2022;50831;Number
Prov. Antwerpen;BE21;Less than 5 years old;Total;2022;100072;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Females;2004;19418;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Males;2004;20720;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Total;2004;40138;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Females;2010;21444;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Males;2010;22396;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Total;2010;43840;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Females;2016;21535;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Males;2016;22666;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Total;2016;44201;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Females;2022;19629;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Males;2022;20431;Number
Prov. Limburg (BE);BE22;Less than 5 years old;Total;2022;40060;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Females;2004;34613;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Males;2004;35989;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Total;2004;70602;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Females;2010;39246;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Males;2010;41227;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Total;2010;80473;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Females;2016;39101;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Males;2016;40851;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Total;2016;79952;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Females;2022;37128;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Males;2022;38999;Number
Prov. Oost-Vlaanderen;BE23;Less than 5 years old;Total;2022;76127;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Females;2004;26924;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Males;2004;27780;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Total;2004;54704;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Females;2010;29134;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Males;2010;30683;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Total;2010;59817;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Females;2016;29585;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Males;2016;31268;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Total;2016;60853;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Females;2022;29608;Number
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Males;2022;30725;Number
