NUTS Region;CO;NO;NO2;O3;PM10;SO2
Algarve;;2.0136714840267644;7.511390823940449;58.00473893255696;13.632518086484817;
Alsace;0.2715559038360623;12.960634926930249;23.000584370480983;52.0162784192593;17.2628078962765;
Arnsberg;;24.55627740140084;31.221447418835098;47.5199134497421;18.64844508709889;
Berlin;0.3176729201077732;13.385495988450089;25.365312086720063;45.693973802546765;18.921961392152323;1.2073695757770406
Bratislavský kraj;0.3175925034250174;;19.042966475315087;54.65224083613988;20.55912542847054;2.517614968003552
Braunschweig;0.3026709908462351;8.90353184286545;17.69348790217181;52.55280420570028;13.617500645638524;0.2985897494949674
Bremen;0.2440162043659355;8.845000324913803;20.409317635002367;46.45767224248777;16.114138197939695;1.13869741316493
Budapest;0.53053819257507;;27.49452011726872;43.73263706157677;24.965;4.5696185591113005
Canarias;0.3779315238424636;3.895915046965297;12.851272849613098;61.61411113773499;28.36362598470145;4.323678290213723
Chemnitz;;12.116325966326878;18.21297586647733;52.5148784622259;14.317913854339542;
Darmstadt;0.2805445558622337;17.121103292319457;27.465067917148847;47.77471239758639;15.557256309161607;0.868522657089671
Detmold;;11.775867498752604;20.77951625819451;47.674813103463045;17.08855238763206;
Dresden;;15.15704342799462;20.8982507556142;44.17042426967065;14.757876501229998;1.8179824676263296
Freiburg;0.2422176070151121;16.76640756180926;22.287632689636865;56.41326883671855;12.536928655744571;
Friuli-Venezia Giulia;0.4197985698159239;13.154235453989816;23.779419095905737;52.41373952551876;18.345782908851422;0.9731748165037136
Gelderland;0.3094287749496643;7.142108420740059;20.11643220316229;50.17560293188965;21.03517906011769;
Gießen;0.3240427368417746;17.132456465612332;25.666134585668853;42.626983001855;14.533547396397934;0.918340679244112
Grad Zagreb;0.412673383000724;;27.852900991320045;43.206774948948826;25.479143439016383;2.2860922706871705
Groningen;;5.927934442996617;13.968458305628056;52.96533433520449;19.128118399513976;
Hamburg;0.3280460908285186;14.686789565312129;26.475072882948496;47.596296549644194;16.642169203923313;3.4517808057182666
Hannover;0.3683189860640631;29.59692629034773;29.88520636490223;;14.410695696168297;
Karlsruhe;0.2482573571800141;14.929095170192666;24.37618881480048;50.37604141411231;15.149430413846565;
Kassel;0.3069663504723585;14.36978963847856;23.689523259862348;47.69658685325398;16.24765048187014;0.8731801898185134
Koblenz;0.2352318319183297;16.333868355835204;30.21209896411407;40.679039497861815;15.15440725249033;1.07278550344596
Kärnten;0.2847207898333926;10.126376063462798;20.495891136781488;41.69829233434908;16.81105189967626;1.0649789580110274
Köln;;11.358775989736733;22.12435320657381;50.35180441623016;14.16880928188737;
La Rioja;0.3369272363935612;6.445984421384467;14.65487221186922;47.9671645301623;20.690154238375097;3.2141906832536145
Leipzig;;15.267904053255291;22.47775032100505;46.915416539497386;15.546191982930353;1.7674200749611115
Liguria;0.6002581673524355;;18.098670376172937;64.10167758588821;17.938865203662626;3.89561693457896
Limburg (NL);;5.231943257041305;15.271429473893027;54.563937467026136;15.754112578207463;
Luxembourg;0.2116216216216113;9.7999462527907;22.742917708115925;49.55691295665453;17.73144570663803;1.95788748048751
Malta;0.3177322467264316;15.4171661776734;24.30176113478616;62.512136806792064;34.53852602306852;0.5900428387750557
Marche;0.6859384124023504;;20.95836219232618;48.37822290015718;23.12901644219436;3.849223065360104
Mittelfranken;;4.499333564906821;14.36769175076432;44.64132264351362;16.155190923778935;
Molise;;7.245554513179396;17.139802302357594;55.68320508592009;15.6;3.5625274715289312
Moravskoslezsko;0.3674492299062626;5.755051700846328;17.074978812889174;50.44869353377003;21.73316050814181;6.639260363547752
Münster;;18.47984202322169;26.695806784263443;;23.39871389787887;
Noord-Brabant;;7.644136601075629;19.741960876432444;49.020283025793965;17.708156477445574;
Noord-Holland;0.3506645420480769;8.596723647336015;22.111767722517943;48.34675803183331;17.187567893194515;0.2808451678189573
Nordjylland;0.1904812324245017;7.311857283431329;13.253374849288443;58.94630988149835;;0.8709559337044321
Nordwestschweiz;;11.316318513036322;23.611860865932226;50.41785420117463;14.215779771674162;0.9821914713573048
Oberfranken;;10.216259626460245;20.022763379544124;;15.231560691048283;
Oberpfalz;0.3007471150966189;23.723437592205308;29.56030949853216;;17.653149494516338;
Opolskie;;2.8121608855255484;13.897800959133727;48.25952157809365;23.15818084962167;3.634094030945525
País Vasco;0.2348640098676609;8.510310727843653;20.36141393346746;46.47044395388766;16.451223281580635;5.503249202204816
Prov. Hainaut;0.2212224437077877;;18.938677860623496;44.64779270633397;15.773411485994917;
Prov. Liège;0.2041165503969243;;16.65737774285196;49.66904591958125;14.476397262031943;2.589235459662289
Prov. Namur;;;17.219476574366166;46.87431178228724;16.80771435715037;
Provincia Autonoma di Trento;0.677439652132468;;32.73801076739239;45.24092905015022;20.030261348005503;2.0815005707068703
Região Autónoma da Madeira (PT);0.1200847013189685;21.80416048877923;21.84691632129827;72.2295142457866;15.81935759134122;2.621576003322009
Rheinhessen-Pfalz;0.2752164208954675;13.15429768282316;24.503267519388107;45.98653295279455;16.707322505524182;1.162071765476901
Région lémanique;0.2908225285759896;7.840169508446352;21.57566445824374;54.48978653813054;12.271381690204914;
Saarland;0.3709611218697931;10.802630392069831;19.73946020984497;47.71043044342679;13.681933127193808;1.8147364194614948
Salzburg;0.2533538683817266;5.707083384135947;21.244787899252422;50.49247334931952;13.405373668523472;1.7953810698714705
Schwaben;0.2701335252882847;9.944492742264138;21.814550630992507;47.15079526149096;15.309237245783828;
Severozápad;0.3861242194851907;10.92733373454974;19.656451414349124;51.96176821610374;20.13107302956364;5.532376707372983
Sostines regionas;0.3005049557093472;;17.12331698611327;42.05053113074969;25.086191974349347;7.988992302951516
Stockholm;0.4273972759284246;;16.10272973723071;55.97556394889342;14.369778087792984;0.3636363636363636
Strední Morava;;4.7708305475972494;14.902625266885083;46.79782289400997;19.933430861083234;1.7889311933993353
