NUTS Region;Euro per inhabitant;Euro per inhabitant in percentage of the EU27 (from 2020) average;Million euro;Million purchasing power standards (PPS, EU27 from 2020);Million units of national currency;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average
Tübingen;39076.92307692308;143.76923076923077;70978.99230769232;65269.99461538461;70978.99230769232;35946.153846153844;132.23076923076923
Umbria;24707.69230769231;92.46153846153847;21609.80923076923;21435.19384615385;21609.80923076923;24523.076923076922;91.6923076923077
Unterfranken;36500.0;134.46153846153845;47853.00615384615;44015.18307692308;47853.00615384615;33569.230769230766;123.53846153846153
Utrecht;50769.230769230766;187.6153846153846;64296.224615384606;56627.46307692308;64296.224615384606;44761.53846153846;165.92307692307693
Valle d'Aosta/Vallée d'Aoste;36438.46153846154;135.92307692307693;4583.456923076923;4544.834615384615;4583.456923076923;36146.153846153844;134.84615384615384
Vorarlberg;42100.0;154.76923076923077;16125.837692307694;14414.384615384615;16125.837692307694;37653.846153846156;138.76923076923077
Voreio Aigaio;12276.923076923076;46.38461538461539;2536.193076923077;2954.179230769231;2534.4069230769232;14253.846153846154;53.92307692307692
Warszawski stoleczny;23761.53846153846;86.0;70994.52076923077;120104.6853846154;302948.14;40223.07692307692;146.0
Wien;47730.769230769234;177.23076923076923;86098.57692307692;77015.46615384615;86098.57692307692;42730.769230769234;158.92307692307693
Zahodna Slovenija;22892.30769230769;83.6923076923077;22193.86230769231;26958.681538461537;22069.34230769231;27838.46153846154;102.3076923076923
Zeeland;32292.30769230769;118.76923076923077;12327.859230769232;10858.925384615384;12327.859230769232;28446.153846153848;104.92307692307692
Zentralschweiz;70140.0;247.4;53856.44;35114.32;61926.04571428571;45360.0;159.8
Zuid-Holland;40900.0;151.46153846153845;148206.80230769233;130635.76692307692;148206.80230769233;36084.61538461538;134.0
Zuid-Nederland;39053.846153846156;143.69230769230768;141463.61;124602.15307692307;141463.61;34400.0;127.0
Zürich;88760.0;313.2;126672.29571428572;82595.03142857143;145664.2814285714;57420.0;202.6
Área Metropolitana de Lisboa;23653.846153846152;87.84615384615384;66524.07769230769;80393.61461538462;66524.07769230769;28569.23076923077;106.3076923076923
Åland;43769.230769230766;162.92307692307693;1260.3907692307694;1012.7607692307691;1260.3907692307694;35207.692307692305;131.3846153846154
