city_name;city_code;value;measurement_date;name;unit
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;11606;2010;Burglary of private residential premises;1
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;3582;2008;Theft of a motorized land vehicle;1
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;3479;2009;Theft of a motorized land vehicle;1
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;BE10;3130;2010;Theft of a motorized land vehicle;1
Prov. Antwerpen;BE21;38;2008;Intentional homicide;1
Prov. Antwerpen;BE21;36;2009;Intentional homicide;1
Prov. Antwerpen;BE21;30;2010;Intentional homicide;1
Prov. Antwerpen;BE21;3281;2008;Robbery;1
Prov. Antwerpen;BE21;3604;2009;Robbery;1
Prov. Antwerpen;BE21;3681;2010;Robbery;1
Prov. Antwerpen;BE21;10177;2008;Burglary of private residential premises;1
Prov. Antwerpen;BE21;10802;2009;Burglary of private residential premises;1
Prov. Antwerpen;BE21;10860;2010;Burglary of private residential premises;1
Prov. Antwerpen;BE21;2758;2008;Theft of a motorized land vehicle;1
Prov. Antwerpen;BE21;2818;2009;Theft of a motorized land vehicle;1
Prov. Antwerpen;BE21;2673;2010;Theft of a motorized land vehicle;1
Prov. Limburg (BE);BE22;16;2008;Intentional homicide;1
Prov. Limburg (BE);BE22;12;2009;Intentional homicide;1
Prov. Limburg (BE);BE22;11;2010;Intentional homicide;1
Prov. Limburg (BE);BE22;594;2008;Robbery;1
Prov. Limburg (BE);BE22;629;2009;Robbery;1
Prov. Limburg (BE);BE22;566;2010;Robbery;1
Prov. Limburg (BE);BE22;3332;2008;Burglary of private residential premises;1
Prov. Limburg (BE);BE22;3055;2009;Burglary of private residential premises;1
Prov. Limburg (BE);BE22;3092;2010;Burglary of private residential premises;1
Prov. Limburg (BE);BE22;1165;2008;Theft of a motorized land vehicle;1
Prov. Limburg (BE);BE22;1018;2009;Theft of a motorized land vehicle;1
Prov. Limburg (BE);BE22;944;2010;Theft of a motorized land vehicle;1
Prov. Oost-Vlaanderen;BE23;13;2008;Intentional homicide;1
Prov. Oost-Vlaanderen;BE23;26;2009;Intentional homicide;1
Prov. Oost-Vlaanderen;BE23;8;2010;Intentional homicide;1
Prov. Oost-Vlaanderen;BE23;1457;2008;Robbery;1
Prov. Oost-Vlaanderen;BE23;1453;2009;Robbery;1
Prov. Oost-Vlaanderen;BE23;1488;2010;Robbery;1
Prov. Oost-Vlaanderen;BE23;4733;2008;Burglary of private residential premises;1
Prov. Oost-Vlaanderen;BE23;5083;2009;Burglary of private residential premises;1
Prov. Oost-Vlaanderen;BE23;5642;2010;Burglary of private residential premises;1
Prov. Oost-Vlaanderen;BE23;1643;2008;Theft of a motorized land vehicle;1
Prov. Oost-Vlaanderen;BE23;1483;2009;Theft of a motorized land vehicle;1
Prov. Oost-Vlaanderen;BE23;1520;2010;Theft of a motorized land vehicle;1
Prov. Vlaams-Brabant;BE24;6;2008;Intentional homicide;1
Prov. Vlaams-Brabant;BE24;5;2009;Intentional homicide;1
Prov. Vlaams-Brabant;BE24;10;2010;Intentional homicide;1
Prov. Vlaams-Brabant;BE24;928;2008;Robbery;1
Prov. Vlaams-Brabant;BE24;1061;2009;Robbery;1
Prov. Vlaams-Brabant;BE24;997;2010;Robbery;1
Prov. Vlaams-Brabant;BE24;5726;2008;Burglary of private residential premises;1
Prov. Vlaams-Brabant;BE24;6546;2009;Burglary of private residential premises;1
Prov. Vlaams-Brabant;BE24;6084;2010;Burglary of private residential premises;1
Prov. Vlaams-Brabant;BE24;1434;2008;Theft of a motorized land vehicle;1
Prov. Vlaams-Brabant;BE24;1397;2009;Theft of a motorized land vehicle;1
