DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,CZ02,2022,1386824,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,CZ03,2022,1215754,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,CZ04,2022,1082108,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,CZ05,2022,1494671,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,CZ06,2022,1688593,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,CZ07,2022,1195362,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,CZ08,2022,1177989,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE,2022,83237124,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE1,2022,11124642,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE11,2022,4150949,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE12,2022,2812482,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE13,2022,2285156,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE14,2022,1876055,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE2,2022,13176989,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE21,2022,4729243,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE22,2022,1253441,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE23,2022,1116741,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE24,2022,1061929,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE25,2022,1777143,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE26,2022,1320513,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE27,2022,1917979,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE3,2022,3677472,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE30,2022,3677472,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE4,2022,2537868,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE40,2022,2537868,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE5,2022,676463,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE50,2022,676463,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE6,2022,1853935,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE60,2022,1853935,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE7,2022,6295017,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE71,2022,4026564,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE72,2022,1050765,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE73,2022,1217688,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE8,2022,1611160,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE80,2022,1611160,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE9,2022,8027031,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE91,2022,1591424,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE92,2022,2149859,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE93,2022,1731531,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DE94,2022,2554217,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEA,2022,17924591,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEA1,2022,5197679,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEA2,2022,4472956,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEA3,2022,2631237,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEA4,2022,2057480,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEA5,2022,3565239,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEB,2022,4106485,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEB1,2022,1503189,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEB2,2022,536772,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEB3,2022,2066524,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEC,2022,982348,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEC0,2022,982348,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DED,2022,4043002,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DED2,2022,1583267,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DED4,2022,1402126,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DED5,2022,1057609,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEE,2022,2169253,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEE0,2022,2169253,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEF,2022,2922005,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEF0,2022,2922005,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEG,2022,2108863,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DEG0,2022,2108863,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DK,2022,5873420,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DK0,2022,5873420,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DK01,2022,1867948,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DK02,2022,843513,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DK03,2022,1228362,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DK04,2022,1341857,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,DK05,2022,591740,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EE,2022,1331796,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EE0,2022,1331796,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EE00,2022,1331796,
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL,2022,10459782,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL3,2022,3806550,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL30,2022,3806550,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL4,2022,1146379,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL41,2022,195229,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL42,2022,327517,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL43,2022,623633,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL5,2022,2924672,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL51,2022,560826,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL52,2022,1790686,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL53,2022,253954,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL54,2022,319206,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL6,2022,2582181,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL61,2022,686344,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL62,2022,204081,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL63,2022,646621,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL64,2022,507072,b
ESTAT:DEMO_R_D2JAN(1.0),08/06/23 23:00:00,A,NR,T,TOTAL,EL65,2022,538063,b
