DATAFLOW,LAST UPDATE,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,AT34,2009,2,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,AT34,2010,0,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE,2008,202,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE,2009,186,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE,2010,184,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE1,2008,44,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE1,2009,33,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE1,2010,30,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE10,2008,44,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE10,2009,33,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE10,2010,30,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE100,2008,44,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE100,2009,33,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE100,2010,30,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE2,2008,83,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE2,2009,88,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE2,2010,71,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE21,2008,38,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE21,2009,36,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE21,2010,30,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE211,2008,25,
ESTAT:CRIM_GEN_REG$DEFAULTVIEW(1.0),17/09/15 23:00:00,A,NR,ICCS0101,BE211,2009,28,
